#Name (cmd = mergePeaks pr.pd_hipp_gba1_vs_lrk/bg.clean.pos pr.pd_hipp_gba1_vs_lrk/target.clean..pos -d 200 -cobound 1 -prefix pr.pd_hipp_gba1_vs_lrk/0.499864938742579.2.tmp)	chr	start	end	strand	stat	stat2	pr.pd_hipp_gba1_vs_lrk/target.clean..pos
BG68835	chr11	124435498	124435703	+	0.000	0.000	5280
BG68837	chr11	124441005	124441204	+	0.000	0.000	5281
BG68847	chr11	124485393	124485620	+	0.000	0.000	5282
BG68878	chr11	124596756	124596955	+	0.000	0.000	5283
BG349138	chr8	61453178	61453465	+	0.000	0.000	25348
BG68883	chr11	124605825	124606079	+	0.000	0.000	5284
BG68885	chr11	124633464	124633674	+	0.000	0.000	5285
BG68890	chr11	124662227	124662439	+	0.000	0.000	5286
BG68924	chr11	124814762	124815156	+	0.000	0.000	5287
BG68944	chr11	124897346	124897546	+	0.000	0.000	5288
BG68947	chr11	124900632	124900852	+	0.000	0.000	5289
BG349218	chr8	61971555	61971754	+	0.000	0.000	25349
BG349220	chr8	62013496	62013797	+	0.000	0.000	25350
BG349228	chr8	62063351	62063729	+	0.000	0.000	25351
BG349229	chr8	62131226	62131620	+	0.000	0.000	25352
BG349238	chr8	62259693	62259971	+	0.000	0.000	25353
BG68986	chr11	125192965	125193164	+	0.000	0.000	5290
BG349249	chr8	62332665	62333057	+	0.000	0.000	25354
BG68991	chr11	125211564	125212353	+	0.000	0.000	5291
BG68992	chr11	125212385	125212705	+	0.000	0.000	5292
BG349254	chr8	62460584	62461275	+	0.000	0.000	25355
BG349266	chr8	62579233	62579640	+	0.000	0.000	25356
BG349296	chr8	62904393	62904614	+	0.000	0.000	25357
BG349299	chr8	62927640	62927839	+	0.000	0.000	25358
BG116001	chr15	29958995	29959194	+	0.000	0.000	8445
BG116002	chr15	29959442	29959706	+	0.000	0.000	8446
BG116005	chr15	29962100	29962299	+	0.000	0.000	8447
BG116013	chr15	29984928	29985334	+	0.000	0.000	8448
BG116022	chr15	30012858	30013519	+	0.000	0.000	8449
BG116026	chr15	30032855	30033569	+	0.000	0.000	8450
BG116027	chr15	30033598	30034545	+	0.000	0.000	8451
BG116036	chr15	30055700	30056125	+	0.000	0.000	8452
BG116044	chr15	30064903	30065322	+	0.000	0.000	8453
BG116049	chr15	30366596	30366795	+	0.000	0.000	8454
BG116051	chr15	30470903	30471359	+	0.000	0.000	8455
BG116055	chr15	30755118	30755325	+	0.000	0.000	8456
BG116056	chr15	30801209	30801478	+	0.000	0.000	8457
BG116089	chr15	30956355	30956597	+	0.000	0.000	8458
BG349325	chr8	63265420	63265667	+	0.000	0.000	25359
BG349335	chr8	63363596	63363821	+	0.000	0.000	25360
BG349336	chr8	63389661	63389868	+	0.000	0.000	25361
BG349338	chr8	63390110	63390318	+	0.000	0.000	25362
BG349339	chr8	63390329	63390562	+	0.000	0.000	25363
BG349345	chr8	63413002	63413232	+	0.000	0.000	25364
BG349346	chr8	63413250	63413580	+	0.000	0.000	25365
BG349357	chr8	63481908	63482108	+	0.000	0.000	25366
BG349379	chr8	63626665	63626864	+	0.000	0.000	25367
BG349381	chr8	63628171	63628370	+	0.000	0.000	25368
BG116103	chr15	30990134	30990350	+	0.000	0.000	8459
BG116145	chr15	31264189	31264728	+	0.000	0.000	8460
BG116147	chr15	31265988	31266637	+	0.000	0.000	8461
BG116155	chr15	31292275	31293377	+	0.000	0.000	8462
BG116156	chr15	31295461	31295660	+	0.000	0.000	8463
BG116157	chr15	31295668	31296063	+	0.000	0.000	8464
BG116161	chr15	31300930	31301349	+	0.000	0.000	8465
BG349409	chr8	63751240	63751503	+	0.000	0.000	25369
BG349415	chr8	63873436	63873649	+	0.000	0.000	25370
BG349427	chr8	63973081	63973293	+	0.000	0.000	25371
BG349428	chr8	63974839	63975090	+	0.000	0.000	25372
BG349429	chr8	63977386	63977585	+	0.000	0.000	25373
BG349433	chr8	63985220	63985433	+	0.000	0.000	25374
BG349453	chr8	64263918	64264198	+	0.000	0.000	25375
BG349455	chr8	64264754	64264967	+	0.000	0.000	25376
BG349460	chr8	64272205	64272421	+	0.000	0.000	25377
BG349462	chr8	64277718	64277926	+	0.000	0.000	25378
BG349465	chr8	64296335	64296534	+	0.000	0.000	25379
BG349497	chr8	64480943	64481217	+	0.000	0.000	25380
BG349498	chr8	64481264	64481472	+	0.000	0.000	25381
BG285102	chr5	115419923	115420168	+	0.000	0.000	21294
BG285114	chr5	115459916	115460115	+	0.000	0.000	21295
BG285135	chr5	115543186	115543393	+	0.000	0.000	21296
BG285142	chr5	115572617	115572816	+	0.000	0.000	21297
BG116228	chr15	31563618	31563817	+	0.000	0.000	8466
BG116244	chr15	31637001	31637200	+	0.000	0.000	8467
BG116245	chr15	31645754	31645983	+	0.000	0.000	8468
BG116251	chr15	31719070	31719481	+	0.000	0.000	8469
BG116268	chr15	31787010	31787209	+	0.000	0.000	8470
BG349510	chr8	64578007	64578414	+	0.000	0.000	25382
BG349530	chr8	64641326	64641560	+	0.000	0.000	25383
BG349532	chr8	64663372	64663571	+	0.000	0.000	25384
BG349538	chr8	64694429	64694650	+	0.000	0.000	25385
BG349587	chr8	64894728	64894927	+	0.000	0.000	25386
BG285245	chr5	116380789	116381164	+	0.000	0.000	21298
BG285273	chr5	116445357	116445614	+	0.000	0.000	21299
BG116329	chr15	32671453	32671676	+	0.000	0.000	8471
BG116339	chr15	32683649	32683907	+	0.000	0.000	8472
BG116353	chr15	32744746	32744974	+	0.000	0.000	8473
BG116368	chr15	32920188	32920387	+	0.000	0.000	8474
BG116379	chr15	33006905	33007104	+	0.000	0.000	8475
BG116393	chr15	33055761	33055960	+	0.000	0.000	8476
BG116394	chr15	33055976	33056186	+	0.000	0.000	8477
BG349623	chr8	65161205	65161605	+	0.000	0.000	25387
BG349630	chr8	65174494	65174713	+	0.000	0.000	25388
BG349638	chr8	65191830	65192058	+	0.000	0.000	25389
BG349660	chr8	65415564	65415811	+	0.000	0.000	25390
BG349661	chr8	65415836	65416167	+	0.000	0.000	25391
BG349681	chr8	65604337	65604559	+	0.000	0.000	25392
BG285314	chr5	116539097	116539336	+	0.000	0.000	21300
BG285331	chr5	116600968	116601167	+	0.000	0.000	21301
BG116442	chr15	33277491	33277972	+	0.000	0.000	8478
BG116443	chr15	33278133	33278351	+	0.000	0.000	8479
BG116446	chr15	33282375	33282611	+	0.000	0.000	8480
BG116447	chr15	33282614	33282813	+	0.000	0.000	8481
BG116448	chr15	33283122	33284346	+	0.000	0.000	8482
BG116459	chr15	33328176	33328429	+	0.000	0.000	8483
BG116476	chr15	33412591	33413225	+	0.000	0.000	8484
BG116481	chr15	33440449	33440648	+	0.000	0.000	8485
BG116490	chr15	33473836	33474035	+	0.000	0.000	8486
BG116492	chr15	33479228	33479492	+	0.000	0.000	8487
BG384002	chrX	134254025	134254224	+	0.000	0.000	27895
BG384003	chrX	134256560	134256759	+	0.000	0.000	27896
BG384004	chrX	134256780	134256979	+	0.000	0.000	27897
BG384033	chrX	134637017	134637267	+	0.000	0.000	27898
BG384049	chrX	134990397	134990760	+	0.000	0.000	27899
BG349720	chr8	65930274	65930473	+	0.000	0.000	25393
BG384059	chrX	135083389	135083688	+	0.000	0.000	27900
BG349728	chr8	65991083	65991408	+	0.000	0.000	25394
BG349732	chr8	66010353	66010751	+	0.000	0.000	25395
BG384071	chrX	135186126	135186368	+	0.000	0.000	27901
BG349746	chr8	66092804	66093167	+	0.000	0.000	25396
BG384087	chrX	135422228	135422696	+	0.000	0.000	27902
BG349753	chr8	66121908	66122153	+	0.000	0.000	25397
BG349762	chr8	66204944	66205172	+	0.000	0.000	25398
BG349793	chr8	66406218	66406498	+	0.000	0.000	25399
BG285415	chr5	117131680	117131923	+	0.000	0.000	21302
BG285422	chr5	117164393	117164592	+	0.000	0.000	21303
BG285428	chr5	117181396	117183150	+	0.000	0.000	21304
BG285435	chr5	117205018	117205253	+	0.000	0.000	21305
BG285444	chr5	117254217	117254599	+	0.000	0.000	21306
BG285445	chr5	117254730	117254935	+	0.000	0.000	21307
BG285455	chr5	117320643	117320842	+	0.000	0.000	21308
BG285470	chr5	117473189	117473420	+	0.000	0.000	21309
BG116541	chr15	33612538	33613320	+	0.000	0.000	8488
BG116543	chr15	33621189	33621414	+	0.000	0.000	8489
BG116544	chr15	33621447	33621827	+	0.000	0.000	8490
BG116545	chr15	33621853	33622072	+	0.000	0.000	8491
BG116566	chr15	33722054	33722253	+	0.000	0.000	8492
BG116571	chr15	33742865	33743143	+	0.000	0.000	8493
BG116582	chr15	33794829	33795454	+	0.000	0.000	8494
BG116584	chr15	33808758	33808957	+	0.000	0.000	8495
BG384106	chrX	135963661	135963860	+	0.000	0.000	27903
BG384119	chrX	136067201	136067602	+	0.000	0.000	27904
BG384124	chrX	136148432	136148731	+	0.000	0.000	27905
BG384161	chrX	136474649	136474848	+	0.000	0.000	27906
BG384167	chrX	136496190	136496442	+	0.000	0.000	27907
BG349836	chr8	66606214	66606603	+	0.000	0.000	25400
BG384187	chrX	136745175	136745374	+	0.000	0.000	27908
BG349892	chr8	66963190	66963408	+	0.000	0.000	25401
BG285504	chr5	117888254	117888595	+	0.000	0.000	21310
BG285507	chr5	117964733	117964933	+	0.000	0.000	21311
BG285535	chr5	118193692	118193891	+	0.000	0.000	21312
BG285590	chr5	118700832	118701452	+	0.000	0.000	21313
BG285595	chr5	118760859	118761058	+	0.000	0.000	21314
BG116639	chr15	34119486	34119685	+	0.000	0.000	8496
BG116679	chr15	34523875	34524074	+	0.000	0.000	8497
BG349907	chr8	67212556	67212755	+	0.000	0.000	25402
BG349922	chr8	67326064	67326296	+	0.000	0.000	25403
BG384263	chrX	138422302	138422514	+	0.000	0.000	27909
BG349930	chr8	67479718	67479942	+	0.000	0.000	25404
BG384267	chrX	138636812	138637011	+	0.000	0.000	27910
BG349959	chr8	67742343	67742542	+	0.000	0.000	25405
BG349976	chr8	67902142	67902341	+	0.000	0.000	25406
BG349994	chr8	68012386	68012653	+	0.000	0.000	25407
BG285612	chr5	118956407	118956640	+	0.000	0.000	21315
BG285637	chr5	119105700	119105969	+	0.000	0.000	21316
BG285658	chr5	119344150	119344349	+	0.000	0.000	21317
BG151010	chr18	3847934	3848179	+	0.000	0.000	11923
BG116713	chr15	34768215	34768414	+	0.000	0.000	8498
BG116714	chr15	34768533	34768871	+	0.000	0.000	8499
BG116717	chr15	34786310	34786528	+	0.000	0.000	8500
BG151052	chr18	3992555	3992754	+	0.000	0.000	11924
BG116733	chr15	34864690	34864889	+	0.000	0.000	8501
BG116756	chr15	35095018	35095217	+	0.000	0.000	8502
BG384300	chrX	138925710	138925976	+	0.000	0.000	27911
BG384309	chrX	139201276	139201491	+	0.000	0.000	27912
BG384311	chrX	139203650	139203870	+	0.000	0.000	27913
BG384316	chrX	139460411	139460610	+	0.000	0.000	27914
BG384324	chrX	139661298	139661497	+	0.000	0.000	27915
BG384332	chrX	139930572	139930771	+	0.000	0.000	27916
BG384339	chrX	140066939	140067160	+	0.000	0.000	27917
BG384348	chrX	140432133	140433589	+	0.000	0.000	27918
BG384351	chrX	140502601	140502818	+	0.000	0.000	27919
BG384364	chrX	140674178	140674377	+	0.000	0.000	27920
BG384369	chrX	140710031	140710771	+	0.000	0.000	27921
BG384371	chrX	140711988	140712187	+	0.000	0.000	27922
BG285719	chr5	119824946	119825501	+	0.000	0.000	21318
BG285720	chr5	119825548	119825773	+	0.000	0.000	21319
BG285724	chr5	119897323	119897522	+	0.000	0.000	21320
BG285732	chr5	120001326	120001525	+	0.000	0.000	21321
BG285789	chr5	120616039	120616272	+	0.000	0.000	21322
BG285790	chr5	120640461	120640797	+	0.000	0.000	21323
BG151100	chr18	4197373	4197588	+	0.000	0.000	11925
BG116807	chr15	35468282	35468506	+	0.000	0.000	8503
BG116812	chr15	35514745	35515158	+	0.000	0.000	8504
BG151153	chr18	4642152	4642370	+	0.000	0.000	11926
BG151179	chr18	4822591	4822823	+	0.000	0.000	11927
BG116850	chr15	35784466	35784848	+	0.000	0.000	8505
BG116852	chr15	35785233	35785432	+	0.000	0.000	8506
BG116859	chr15	35842720	35843257	+	0.000	0.000	8507
BG116865	chr15	35854136	35854353	+	0.000	0.000	8508
BG116881	chr15	35957514	35957713	+	0.000	0.000	8509
BG384403	chrX	141177757	141178003	+	0.000	0.000	27923
BG384405	chrX	141183760	141183959	+	0.000	0.000	27924
BG384407	chrX	141215868	141216067	+	0.000	0.000	27925
BG384420	chrX	141638622	141638880	+	0.000	0.000	27926
BG384421	chrX	141638932	141639542	+	0.000	0.000	27927
BG384430	chrX	141825864	141826078	+	0.000	0.000	27928
BG384432	chrX	141826413	141826612	+	0.000	0.000	27929
BG384433	chrX	141834328	141834892	+	0.000	0.000	27930
BG384434	chrX	141834894	141835513	+	0.000	0.000	27931
BG384440	chrX	141936150	141936389	+	0.000	0.000	27932
BG384441	chrX	141968526	141968725	+	0.000	0.000	27933
BG384442	chrX	141968922	141970857	+	0.000	0.000	27934
BG384443	chrX	141970956	141971155	+	0.000	0.000	27935
BG384444	chrX	142066535	142066797	+	0.000	0.000	27936
BG384445	chrX	142066966	142067175	+	0.000	0.000	27937
BG285836	chr5	121501104	121501303	+	0.000	0.000	21324
BG285846	chr5	121635060	121635869	+	0.000	0.000	21325
BG285850	chr5	121797415	121798505	+	0.000	0.000	21326
BG285877	chr5	122156577	122156776	+	0.000	0.000	21327
BG116901	chr15	36194054	36194253	+	0.000	0.000	8510
BG116910	chr15	36256448	36256647	+	0.000	0.000	8511
BG151259	chr18	5380277	5380498	+	0.000	0.000	11928
BG151273	chr18	5418085	5418324	+	0.000	0.000	11929
BG116949	chr15	36595072	36595271	+	0.000	0.000	8512
BG116953	chr15	36602340	36602539	+	0.000	0.000	8513
BG116988	chr15	36867556	36867967	+	0.000	0.000	8514
BG384501	chrX	143734391	143734590	+	0.000	0.000	27938
BG384503	chrX	143744156	143744516	+	0.000	0.000	27939
BG384507	chrX	143746039	143746239	+	0.000	0.000	27940
BG384528	chrX	144716134	144716333	+	0.000	0.000	27941
BG384529	chrX	144892379	144892703	+	0.000	0.000	27942
BG384530	chrX	144896457	144896656	+	0.000	0.000	27943
BG384534	chrX	145194902	145195408	+	0.000	0.000	27944
BG384549	chrX	145524973	145525468	+	0.000	0.000	27945
BG384550	chrX	145525481	145526376	+	0.000	0.000	27946
BG384579	chrX	145832293	145832518	+	0.000	0.000	27947
BG384587	chrX	145838517	145838716	+	0.000	0.000	27948
BG285954	chr5	122614669	122615449	+	0.000	0.000	21328
BG151372	chr18	5839783	5839984	+	0.000	0.000	11930
BG151374	chr18	5840561	5840760	+	0.000	0.000	11931
BG384631	chrX	147216874	147217221	+	0.000	0.000	27949
BG384632	chrX	147217276	147218052	+	0.000	0.000	27950
BG384634	chrX	147251382	147251581	+	0.000	0.000	27951
BG384645	chrX	147749336	147749821	+	0.000	0.000	27952
BG384650	chrX	147804658	147804935	+	0.000	0.000	27953
BG384662	chrX	148314526	148315504	+	0.000	0.000	27954
BG384686	chrX	148657404	148657731	+	0.000	0.000	27955
BG151428	chr18	6212739	6212964	+	0.000	0.000	11932
BG151450	chr18	6300786	6300985	+	0.000	0.000	11933
BG151472	chr18	6429368	6429567	+	0.000	0.000	11934
BG384708	chrX	149151413	149151877	+	0.000	0.000	27956
BG384727	chrX	149504021	149504558	+	0.000	0.000	27957
BG384739	chrX	149526778	149526977	+	0.000	0.000	27958
BG384748	chrX	149602453	149602652	+	0.000	0.000	27959
BG384750	chrX	149606074	149606624	+	0.000	0.000	27960
BG384754	chrX	149698521	149698747	+	0.000	0.000	27961
BG384777	chrX	150159746	150159945	+	0.000	0.000	27962
BG384780	chrX	150165375	150165597	+	0.000	0.000	27963
BG151525	chr18	7022334	7022533	+	0.000	0.000	11935
BG151532	chr18	7070271	7070470	+	0.000	0.000	11936
BG151568	chr18	7369757	7369956	+	0.000	0.000	11937
BG151569	chr18	7370055	7370375	+	0.000	0.000	11938
BG151571	chr18	7370740	7371105	+	0.000	0.000	11939
BG151591	chr18	7579965	7580224	+	0.000	0.000	11940
BG384805	chrX	150466415	150466918	+	0.000	0.000	27964
BG384813	chrX	150507785	150507984	+	0.000	0.000	27965
BG384822	chrX	150545715	150546037	+	0.000	0.000	27966
BG384823	chrX	150546058	150546379	+	0.000	0.000	27967
BG384875	chrX	150887484	150889433	+	0.000	0.000	27968
BG384877	chrX	150900179	150900378	+	0.000	0.000	27969
BG384894	chrX	151152942	151153425	+	0.000	0.000	27970
BG384898	chrX	151384864	151385063	+	0.000	0.000	27971
BG384899	chrX	151393602	151393924	+	0.000	0.000	27972
BG151615	chr18	7723739	7723938	+	0.000	0.000	11941
BG151626	chr18	7749128	7749358	+	0.000	0.000	11942
BG151631	chr18	7789713	7789912	+	0.000	0.000	11943
BG151634	chr18	7805180	7805397	+	0.000	0.000	11944
BG151642	chr18	7854251	7854642	+	0.000	0.000	11945
BG151643	chr18	7855030	7855483	+	0.000	0.000	11946
BG151673	chr18	8004871	8005087	+	0.000	0.000	11947
BG151689	chr18	8163608	8163865	+	0.000	0.000	11948
BG151697	chr18	8217116	8217354	+	0.000	0.000	11949
BG384944	chrX	152816936	152817646	+	0.000	0.000	27973
BG384962	chrX	152915698	152915923	+	0.000	0.000	27974
BG384972	chrX	153040798	153041003	+	0.000	0.000	27975
BG384984	chrX	153381368	153381588	+	0.000	0.000	27976
BG384995	chrX	153465599	153465798	+	0.000	0.000	27977
BG151762	chr18	8627453	8627923	+	0.000	0.000	11950
BG151775	chr18	8658287	8658486	+	0.000	0.000	11951
BG151776	chr18	8661764	8662051	+	0.000	0.000	11952
BG151800	chr18	8750904	8751177	+	0.000	0.000	11953
BG151806	chr18	8779823	8780603	+	0.000	0.000	11954
BG151822	chr18	8817695	8818159	+	0.000	0.000	11955
BG151838	chr18	8912492	8912691	+	0.000	0.000	11956
BG151845	chr18	8937354	8937553	+	0.000	0.000	11957
BG151870	chr18	9058736	9058996	+	0.000	0.000	11958
BG151886	chr18	9147230	9147454	+	0.000	0.000	11959
BG151902	chr18	9362586	9362824	+	0.000	0.000	11960
BG151904	chr18	9365466	9365726	+	0.000	0.000	11961
BG151931	chr18	9549519	9549928	+	0.000	0.000	11962
BG151940	chr18	9575880	9576393	+	0.000	0.000	11963
BG151949	chr18	9653703	9654227	+	0.000	0.000	11964
BG151950	chr18	9654258	9654466	+	0.000	0.000	11965
BG151952	chr18	9655196	9655435	+	0.000	0.000	11966
BG151983	chr18	9771822	9772527	+	0.000	0.000	11967
BG151989	chr18	9790229	9790428	+	0.000	0.000	11968
BG169004	chr19	53824231	53824430	+	0.000	0.000	13486
BG169011	chr19	53864209	53864496	+	0.000	0.000	13487
BG169012	chr19	53864521	53864980	+	0.000	0.000	13488
BG169034	chr19	53945803	53946206	+	0.000	0.000	13489
BG169041	chr19	53965085	53965351	+	0.000	0.000	13490
BG169051	chr19	54017363	54017592	+	0.000	0.000	13491
BG169057	chr19	54045938	54046920	+	0.000	0.000	13492
BG169061	chr19	54095549	54096375	+	0.000	0.000	13493
BG169072	chr19	54152049	54152436	+	0.000	0.000	13494
BG169088	chr19	54248060	54248331	+	0.000	0.000	13495
BG169099	chr19	54346022	54346418	+	0.000	0.000	13496
BG169116	chr19	54415684	54415921	+	0.000	0.000	13497
BG169117	chr19	54416242	54416452	+	0.000	0.000	13498
BG169119	chr19	54417783	54418020	+	0.000	0.000	13499
BG169120	chr19	54418188	54418446	+	0.000	0.000	13500
BG169127	chr19	54434087	54434286	+	0.000	0.000	13501
BG169141	chr19	54470990	54471793	+	0.000	0.000	13502
BG169147	chr19	54522843	54523923	+	0.000	0.000	13503
BG169151	chr19	54551980	54552179	+	0.000	0.000	13504
BG169163	chr19	54644180	54644379	+	0.000	0.000	13505
BG169168	chr19	54881314	54881584	+	0.000	0.000	13506
BG169170	chr19	54922962	54923161	+	0.000	0.000	13507
BG169172	chr19	55012366	55012890	+	0.000	0.000	13508
BG169178	chr19	55080200	55080433	+	0.000	0.000	13509
BG169179	chr19	55080458	55080892	+	0.000	0.000	13510
BG169180	chr19	55081410	55081627	+	0.000	0.000	13511
BG169194	chr19	55156409	55156608	+	0.000	0.000	13512
BG169208	chr19	55197612	55197833	+	0.000	0.000	13513
BG169224	chr19	55278903	55279111	+	0.000	0.000	13514
BG169227	chr19	55285191	55285833	+	0.000	0.000	13515
BG169231	chr19	55307750	55307982	+	0.000	0.000	13516
BG169238	chr19	55344576	55344776	+	0.000	0.000	13517
BG169239	chr19	55353309	55354397	+	0.000	0.000	13518
BG169240	chr19	55369997	55370213	+	0.000	0.000	13519
BG169250	chr19	55425741	55427134	+	0.000	0.000	13520
BG169253	chr19	55442478	55442788	+	0.000	0.000	13521
BG169272	chr19	55481884	55482083	+	0.000	0.000	13522
BG169275	chr19	55487635	55487882	+	0.000	0.000	13523
BG169278	chr19	55492425	55492692	+	0.000	0.000	13524
BG169315	chr19	55667290	55667528	+	0.000	0.000	13525
BG169316	chr19	55667532	55668018	+	0.000	0.000	13526
BG169317	chr19	55668023	55668342	+	0.000	0.000	13527
BG169319	chr19	55671397	55671812	+	0.000	0.000	13528
BG169323	chr19	55688511	55689234	+	0.000	0.000	13529
BG169339	chr19	56076464	56076933	+	0.000	0.000	13530
BG169343	chr19	56102103	56102339	+	0.000	0.000	13531
BG169347	chr19	56108916	56109115	+	0.000	0.000	13532
BG169360	chr19	56162114	56162568	+	0.000	0.000	13533
BG169365	chr19	56178710	56178940	+	0.000	0.000	13534
BG169384	chr19	56309629	56309854	+	0.000	0.000	13535
BG169387	chr19	56315923	56316122	+	0.000	0.000	13536
BG169399	chr19	56491982	56492367	+	0.000	0.000	13537
BG169407	chr19	56601445	56601678	+	0.000	0.000	13538
BG169409	chr19	56614973	56615525	+	0.000	0.000	13539
BG169411	chr19	56638041	56638291	+	0.000	0.000	13540
BG169426	chr19	56707136	56708479	+	0.000	0.000	13541
BG169448	chr19	56821994	56822222	+	0.000	0.000	13542
BG169455	chr19	56868073	56868909	+	0.000	0.000	13543
BG169462	chr19	56926876	56927235	+	0.000	0.000	13544
BG169481	chr19	57019413	57019634	+	0.000	0.000	13545
BG169482	chr19	57030458	57031481	+	0.000	0.000	13546
BG169483	chr19	57031483	57031959	+	0.000	0.000	13547
BG169485	chr19	57053310	57054050	+	0.000	0.000	13548
BG169488	chr19	57056965	57057925	+	0.000	0.000	13549
BG169497	chr19	57078625	57079130	+	0.000	0.000	13550
BG169519	chr19	57301991	57302405	+	0.000	0.000	13551
BG169544	chr19	57558066	57558287	+	0.000	0.000	13552
BG169559	chr19	57675987	57676232	+	0.000	0.000	13553
BG169571	chr19	57808452	57808875	+	0.000	0.000	13554
BG169585	chr19	57935620	57936073	+	0.000	0.000	13555
BG169590	chr19	58021562	58021956	+	0.000	0.000	13556
BG169603	chr19	58080219	58080418	+	0.000	0.000	13557
BG169605	chr19	58084996	58085195	+	0.000	0.000	13558
BG169615	chr19	58243196	58243395	+	0.000	0.000	13559
BG169619	chr19	58274706	58275185	+	0.000	0.000	13560
BG169626	chr19	58318816	58319278	+	0.000	0.000	13561
BG169627	chr19	58319282	58319516	+	0.000	0.000	13562
BG169637	chr19	58356625	58356824	+	0.000	0.000	13563
BG169666	chr19	58555454	58555698	+	0.000	0.000	13564
BG169675	chr19	58580934	58582050	+	0.000	0.000	13565
BG169676	chr2	11240	12003	+	0.000	0.000	13566
BG169691	chr2	134040	134744	+	0.000	0.000	13567
BG169709	chr2	232213	232800	+	0.000	0.000	13568
BG169714	chr2	260882	261108	+	0.000	0.000	13569
BG169736	chr2	391800	392021	+	0.000	0.000	13570
BG169739	chr2	425745	425944	+	0.000	0.000	13571
BG169740	chr2	426081	426295	+	0.000	0.000	13572
BG169741	chr2	439169	439517	+	0.000	0.000	13573
BG169744	chr2	461596	461951	+	0.000	0.000	13574
BG169750	chr2	544777	545129	+	0.000	0.000	13575
BG169751	chr2	545137	545867	+	0.000	0.000	13576
BG169801	chr2	979605	979825	+	0.000	0.000	13577
BG169804	chr2	1031806	1032460	+	0.000	0.000	13578
BG169846	chr2	1579617	1579816	+	0.000	0.000	13579
BG169851	chr2	1625256	1625585	+	0.000	0.000	13580
BG169927	chr2	1943063	1943300	+	0.000	0.000	13581
BG169941	chr2	1983168	1983367	+	0.000	0.000	13582
BG169976	chr2	2112449	2112761	+	0.000	0.000	13583
BG16001	chr1	108368975	108369174	+	0.000	0.000	1574
BG16010	chr1	108539116	108539616	+	0.000	0.000	1575
BG16064	chr1	108759617	108759843	+	0.000	0.000	1576
BG16068	chr1	108817438	108817641	+	0.000	0.000	1577
BG16076	chr1	108851438	108851637	+	0.000	0.000	1578
BG16109	chr1	109023298	109023746	+	0.000	0.000	1579
BG16111	chr1	109030131	109030347	+	0.000	0.000	1580
BG16112	chr1	109030363	109030763	+	0.000	0.000	1581
BG16115	chr1	109040621	109040847	+	0.000	0.000	1582
BG16122	chr1	109088933	109089227	+	0.000	0.000	1583
BG16133	chr1	109126181	109126394	+	0.000	0.000	1584
BG16141	chr1	109151486	109152018	+	0.000	0.000	1585
BG16160	chr1	109209471	109209670	+	0.000	0.000	1586
BG16215	chr1	109397387	109397835	+	0.000	0.000	1587
BG16236	chr1	109502618	109502848	+	0.000	0.000	1588
BG16238	chr1	109521439	109521638	+	0.000	0.000	1589
BG16250	chr1	109568820	109569019	+	0.000	0.000	1590
BG16251	chr1	109569156	109569396	+	0.000	0.000	1591
BG16271	chr1	109641924	109642135	+	0.000	0.000	1592
BG16280	chr1	109687200	109687600	+	0.000	0.000	1593
BG16281	chr1	109687625	109688707	+	0.000	0.000	1594
BG16282	chr1	109694370	109694965	+	0.000	0.000	1595
BG16291	chr1	109761228	109761441	+	0.000	0.000	1596
BG16301	chr1	109799704	109800009	+	0.000	0.000	1597
BG16303	chr1	109807490	109807689	+	0.000	0.000	1598
BG16304	chr1	109812363	109812996	+	0.000	0.000	1599
BG16305	chr1	109813206	109813588	+	0.000	0.000	1600
BG16317	chr1	109850898	109851162	+	0.000	0.000	1601
BG16318	chr1	109851815	109852033	+	0.000	0.000	1602
BG16332	chr1	109909641	109910438	+	0.000	0.000	1603
BG16445	chr1	110370924	110371155	+	0.000	0.000	1604
BG16446	chr1	110390107	110390324	+	0.000	0.000	1605
BG16498	chr1	110602349	110602548	+	0.000	0.000	1606
BG16515	chr1	110643931	110644165	+	0.000	0.000	1607
BG16516	chr1	110644173	110644408	+	0.000	0.000	1608
BG16536	chr1	110711813	110712012	+	0.000	0.000	1609
BG16568	chr1	110783599	110783798	+	0.000	0.000	1610
BG16601	chr1	111222348	111222547	+	0.000	0.000	1611
BG16605	chr1	111234965	111235182	+	0.000	0.000	1612
BG16612	chr1	111251951	111252150	+	0.000	0.000	1613
BG16622	chr1	111334228	111334450	+	0.000	0.000	1614
BG16638	chr1	111467897	111468096	+	0.000	0.000	1615
BG16643	chr1	111486840	111487135	+	0.000	0.000	1616
BG16644	chr1	111487171	111487403	+	0.000	0.000	1617
BG16645	chr1	111488171	111488987	+	0.000	0.000	1618
BG16646	chr1	111489007	111489486	+	0.000	0.000	1619
BG16647	chr1	111489504	111490037	+	0.000	0.000	1620
BG16648	chr1	111498290	111499372	+	0.000	0.000	1621
BG16649	chr1	111499485	111500208	+	0.000	0.000	1622
BG16661	chr1	111585561	111585760	+	0.000	0.000	1623
BG16684	chr1	111689640	111689839	+	0.000	0.000	1624
BG51000	chr10	132499478	132499695	+	0.000	0.000	4032
BG51031	chr10	132577659	132577928	+	0.000	0.000	4033
BG51043	chr10	132606030	132606833	+	0.000	0.000	4034
BG16711	chr1	111756445	111756644	+	0.000	0.000	1625
BG16720	chr1	111790267	111790517	+	0.000	0.000	1626
