#Name (cmd = mergePeaks pr.diff_pd_hipp_lrrk_vs_ctrl/bg.clean.pos pr.diff_pd_hipp_lrrk_vs_ctrl/target.clean..pos -d 200 -cobound 1 -prefix pr.diff_pd_hipp_lrrk_vs_ctrl/0.288842263006703.2.tmp)	chr	start	end	strand	stat	stat2	pr.diff_pd_hipp_lrrk_vs_ctrl/target.clean..pos
BG384858	chrX	150771908	150772219	+	0.000	0.000	27275
BG384875	chrX	150887484	150889433	+	0.000	0.000	27276
BG384877	chrX	150900179	150900378	+	0.000	0.000	27277
BG384888	chrX	151004166	151004398	+	0.000	0.000	27278
BG384891	chrX	151102016	151102248	+	0.000	0.000	27279
BG384894	chrX	151152942	151153425	+	0.000	0.000	27280
BG384898	chrX	151384864	151385063	+	0.000	0.000	27281
BG384899	chrX	151393602	151393924	+	0.000	0.000	27282
BG151615	chr18	7723739	7723938	+	0.000	0.000	11601
BG151626	chr18	7749128	7749358	+	0.000	0.000	11602
BG151630	chr18	7789505	7789704	+	0.000	0.000	11603
BG151631	chr18	7789713	7789912	+	0.000	0.000	11604
BG151634	chr18	7805180	7805397	+	0.000	0.000	11605
BG151643	chr18	7855030	7855483	+	0.000	0.000	11606
BG151650	chr18	7867232	7867447	+	0.000	0.000	11607
BG151674	chr18	8045551	8045927	+	0.000	0.000	11608
BG151697	chr18	8217116	8217354	+	0.000	0.000	11609
BG384906	chrX	151505658	151506055	+	0.000	0.000	27283
BG384908	chrX	151570479	151570678	+	0.000	0.000	27284
BG384919	chrX	151810977	151811435	+	0.000	0.000	27285
BG384944	chrX	152816936	152817646	+	0.000	0.000	27286
BG384958	chrX	152904393	152904838	+	0.000	0.000	27287
BG384962	chrX	152915698	152915923	+	0.000	0.000	27288
BG384984	chrX	153381368	153381588	+	0.000	0.000	27289
BG384995	chrX	153465599	153465798	+	0.000	0.000	27290
BG151741	chr18	8515982	8516206	+	0.000	0.000	11610
BG151749	chr18	8529476	8529861	+	0.000	0.000	11611
BG151770	chr18	8656307	8656544	+	0.000	0.000	11612
BG151797	chr18	8730509	8730760	+	0.000	0.000	11613
BG151869	chr18	9058338	9058615	+	0.000	0.000	11614
BG151886	chr18	9147230	9147454	+	0.000	0.000	11615
BG151940	chr18	9575880	9576393	+	0.000	0.000	11616
BG151950	chr18	9654258	9654466	+	0.000	0.000	11617
BG151972	chr18	9742208	9742537	+	0.000	0.000	11618
BG151978	chr18	9762685	9762884	+	0.000	0.000	11619
BG151983	chr18	9771822	9772527	+	0.000	0.000	11620
BG169003	chr19	53819176	53819385	+	0.000	0.000	13125
BG169012	chr19	53864521	53864980	+	0.000	0.000	13126
BG169031	chr19	53927861	53928060	+	0.000	0.000	13127
BG169032	chr19	53936137	53936765	+	0.000	0.000	13128
BG169034	chr19	53945803	53946206	+	0.000	0.000	13129
BG169051	chr19	54017363	54017592	+	0.000	0.000	13130
BG169057	chr19	54045938	54046920	+	0.000	0.000	13131
BG169061	chr19	54095549	54096375	+	0.000	0.000	13132
BG169072	chr19	54152049	54152436	+	0.000	0.000	13133
BG169087	chr19	54247682	54247923	+	0.000	0.000	13134
BG169088	chr19	54248060	54248331	+	0.000	0.000	13135
BG169089	chr19	54266154	54266362	+	0.000	0.000	13136
BG169096	chr19	54317097	54317456	+	0.000	0.000	13137
BG169099	chr19	54346022	54346418	+	0.000	0.000	13138
BG169117	chr19	54416242	54416452	+	0.000	0.000	13139
BG169119	chr19	54417783	54418020	+	0.000	0.000	13140
BG169123	chr19	54421438	54421681	+	0.000	0.000	13141
BG169127	chr19	54434087	54434286	+	0.000	0.000	13142
BG169146	chr19	54521122	54521758	+	0.000	0.000	13143
BG169147	chr19	54522843	54523923	+	0.000	0.000	13144
BG169148	chr19	54532600	54532799	+	0.000	0.000	13145
BG169151	chr19	54551980	54552179	+	0.000	0.000	13146
BG169163	chr19	54644180	54644379	+	0.000	0.000	13147
BG169164	chr19	54662874	54663078	+	0.000	0.000	13148
BG169170	chr19	54922962	54923161	+	0.000	0.000	13149
BG169172	chr19	55012366	55012890	+	0.000	0.000	13150
BG169176	chr19	55069129	55069341	+	0.000	0.000	13151
BG169178	chr19	55080200	55080433	+	0.000	0.000	13152
BG169179	chr19	55080458	55080892	+	0.000	0.000	13153
BG169189	chr19	55130875	55131504	+	0.000	0.000	13154
BG169190	chr19	55131547	55131746	+	0.000	0.000	13155
BG169194	chr19	55156409	55156608	+	0.000	0.000	13156
BG169224	chr19	55278903	55279111	+	0.000	0.000	13157
BG169227	chr19	55285191	55285833	+	0.000	0.000	13158
BG169231	chr19	55307750	55307982	+	0.000	0.000	13159
BG169238	chr19	55344576	55344776	+	0.000	0.000	13160
BG169239	chr19	55353309	55354397	+	0.000	0.000	13161
BG169240	chr19	55369997	55370213	+	0.000	0.000	13162
BG169242	chr19	55392813	55393236	+	0.000	0.000	13163
BG169250	chr19	55425741	55427134	+	0.000	0.000	13164
BG169275	chr19	55487635	55487882	+	0.000	0.000	13165
BG169278	chr19	55492425	55492692	+	0.000	0.000	13166
BG169298	chr19	55599845	55600381	+	0.000	0.000	13167
BG169316	chr19	55667532	55668018	+	0.000	0.000	13168
BG169317	chr19	55668023	55668342	+	0.000	0.000	13169
BG169323	chr19	55688511	55689234	+	0.000	0.000	13170
BG169342	chr19	56094528	56094730	+	0.000	0.000	13171
BG169343	chr19	56102103	56102339	+	0.000	0.000	13172
BG169347	chr19	56108916	56109115	+	0.000	0.000	13173
BG169356	chr19	56147413	56147612	+	0.000	0.000	13174
BG169360	chr19	56162114	56162568	+	0.000	0.000	13175
BG169367	chr19	56185170	56186377	+	0.000	0.000	13176
BG169387	chr19	56315923	56316122	+	0.000	0.000	13177
BG169407	chr19	56601445	56601678	+	0.000	0.000	13178
BG169409	chr19	56614973	56615525	+	0.000	0.000	13179
BG169411	chr19	56638041	56638291	+	0.000	0.000	13180
BG169426	chr19	56707136	56708479	+	0.000	0.000	13181
BG169429	chr19	56718663	56719365	+	0.000	0.000	13182
BG169442	chr19	56758197	56758834	+	0.000	0.000	13183
BG169448	chr19	56821994	56822222	+	0.000	0.000	13184
BG169454	chr19	56866383	56866882	+	0.000	0.000	13185
BG169455	chr19	56868073	56868909	+	0.000	0.000	13186
BG169456	chr19	56899768	56899967	+	0.000	0.000	13187
BG169462	chr19	56926876	56927235	+	0.000	0.000	13188
BG169468	chr19	56980551	56980967	+	0.000	0.000	13189
BG169469	chr19	56980971	56981562	+	0.000	0.000	13190
BG169481	chr19	57019413	57019634	+	0.000	0.000	13191
BG169482	chr19	57030458	57031481	+	0.000	0.000	13192
BG169483	chr19	57031483	57031959	+	0.000	0.000	13193
BG169485	chr19	57053310	57054050	+	0.000	0.000	13194
BG169488	chr19	57056965	57057925	+	0.000	0.000	13195
BG169492	chr19	57071504	57071764	+	0.000	0.000	13196
BG169495	chr19	57075495	57075755	+	0.000	0.000	13197
BG169497	chr19	57078625	57079130	+	0.000	0.000	13198
BG169500	chr19	57096322	57096977	+	0.000	0.000	13199
BG169504	chr19	57105842	57107111	+	0.000	0.000	13200
BG169513	chr19	57218326	57218525	+	0.000	0.000	13201
BG169514	chr19	57230834	57231055	+	0.000	0.000	13202
BG169519	chr19	57301991	57302405	+	0.000	0.000	13203
BG169524	chr19	57317476	57317675	+	0.000	0.000	13204
BG169525	chr19	57317689	57317888	+	0.000	0.000	13205
BG169585	chr19	57935620	57936073	+	0.000	0.000	13206
BG169602	chr19	58079913	58080207	+	0.000	0.000	13207
BG169615	chr19	58243196	58243395	+	0.000	0.000	13208
BG169616	chr19	58243412	58243682	+	0.000	0.000	13209
BG169625	chr19	58318417	58318616	+	0.000	0.000	13210
BG169626	chr19	58318816	58319278	+	0.000	0.000	13211
BG169627	chr19	58319282	58319516	+	0.000	0.000	13212
BG169631	chr19	58330477	58331058	+	0.000	0.000	13213
BG169641	chr19	58372833	58373066	+	0.000	0.000	13214
BG169666	chr19	58555454	58555698	+	0.000	0.000	13215
BG169675	chr19	58580934	58582050	+	0.000	0.000	13216
BG169714	chr2	260882	261108	+	0.000	0.000	13217
BG169717	chr2	275622	275821	+	0.000	0.000	13218
BG169720	chr2	287521	288431	+	0.000	0.000	13219
BG169721	chr2	288549	288760	+	0.000	0.000	13220
BG169741	chr2	439169	439517	+	0.000	0.000	13221
BG169744	chr2	461596	461951	+	0.000	0.000	13222
BG169745	chr2	467723	468764	+	0.000	0.000	13223
BG169804	chr2	1031806	1032460	+	0.000	0.000	13224
BG169812	chr2	1117122	1117321	+	0.000	0.000	13225
BG169813	chr2	1132113	1132887	+	0.000	0.000	13226
BG169872	chr2	1740971	1741170	+	0.000	0.000	13227
BG169893	chr2	1841568	1841849	+	0.000	0.000	13228
BG169927	chr2	1943063	1943300	+	0.000	0.000	13229
BG169941	chr2	1983168	1983367	+	0.000	0.000	13230
BG169952	chr2	2018741	2019058	+	0.000	0.000	13231
BG169953	chr2	2019067	2019402	+	0.000	0.000	13232
BG16010	chr1	108539116	108539616	+	0.000	0.000	1498
BG16022	chr1	108586162	108586361	+	0.000	0.000	1499
BG16068	chr1	108817438	108817641	+	0.000	0.000	1500
BG16113	chr1	109030790	109030995	+	0.000	0.000	1501
BG16115	chr1	109040621	109040847	+	0.000	0.000	1502
BG16122	chr1	109088933	109089227	+	0.000	0.000	1503
BG16133	chr1	109126181	109126394	+	0.000	0.000	1504
BG16160	chr1	109209471	109209670	+	0.000	0.000	1505
BG16195	chr1	109313446	109313731	+	0.000	0.000	1506
BG16204	chr1	109363847	109364046	+	0.000	0.000	1507
BG16236	chr1	109502618	109502848	+	0.000	0.000	1508
BG16251	chr1	109569156	109569396	+	0.000	0.000	1509
BG16252	chr1	109569418	109569649	+	0.000	0.000	1510
BG16271	chr1	109641924	109642135	+	0.000	0.000	1511
BG16280	chr1	109687200	109687600	+	0.000	0.000	1512
BG16281	chr1	109687625	109688707	+	0.000	0.000	1513
BG16282	chr1	109694370	109694965	+	0.000	0.000	1514
BG16288	chr1	109733329	109733561	+	0.000	0.000	1515
BG16291	chr1	109761228	109761441	+	0.000	0.000	1516
BG16293	chr1	109770472	109771223	+	0.000	0.000	1517
BG16301	chr1	109799704	109800009	+	0.000	0.000	1518
BG16303	chr1	109807490	109807689	+	0.000	0.000	1519
BG16304	chr1	109812363	109812996	+	0.000	0.000	1520
BG16305	chr1	109813206	109813588	+	0.000	0.000	1521
BG16313	chr1	109826279	109826478	+	0.000	0.000	1522
BG16317	chr1	109850898	109851162	+	0.000	0.000	1523
BG16332	chr1	109909641	109910438	+	0.000	0.000	1524
BG16378	chr1	110114895	110115114	+	0.000	0.000	1525
BG16383	chr1	110135347	110135551	+	0.000	0.000	1526
BG16421	chr1	110220351	110220550	+	0.000	0.000	1527
BG16434	chr1	110283492	110284005	+	0.000	0.000	1528
BG16460	chr1	110468816	110469015	+	0.000	0.000	1529
BG16467	chr1	110483649	110483848	+	0.000	0.000	1530
BG16468	chr1	110483889	110484088	+	0.000	0.000	1531
BG16498	chr1	110602349	110602548	+	0.000	0.000	1532
BG16516	chr1	110644173	110644408	+	0.000	0.000	1533
BG16553	chr1	110753738	110753984	+	0.000	0.000	1534
BG16568	chr1	110783599	110783798	+	0.000	0.000	1535
BG16601	chr1	111222348	111222547	+	0.000	0.000	1536
BG16629	chr1	111418156	111418551	+	0.000	0.000	1537
BG16643	chr1	111486840	111487135	+	0.000	0.000	1538
BG16645	chr1	111488171	111488987	+	0.000	0.000	1539
BG16646	chr1	111489007	111489486	+	0.000	0.000	1540
BG16647	chr1	111489504	111490037	+	0.000	0.000	1541
BG16667	chr1	111604053	111604252	+	0.000	0.000	1542
BG16676	chr1	111648923	111649122	+	0.000	0.000	1543
BG51016	chr10	132541545	132541761	+	0.000	0.000	3876
BG51017	chr10	132546230	132546429	+	0.000	0.000	3877
BG51026	chr10	132572304	132572523	+	0.000	0.000	3878
BG51030	chr10	132577415	132577615	+	0.000	0.000	3879
BG51031	chr10	132577659	132577928	+	0.000	0.000	3880
BG51043	chr10	132606030	132606833	+	0.000	0.000	3881
BG16711	chr1	111756445	111756644	+	0.000	0.000	1544
BG51065	chr10	132646695	132646918	+	0.000	0.000	3882
BG16735	chr1	111849215	111849414	+	0.000	0.000	1545
BG51074	chr10	132665950	132667145	+	0.000	0.000	3883
BG16744	chr1	111874438	111875064	+	0.000	0.000	1546
BG16747	chr1	111876275	111876474	+	0.000	0.000	1547
BG51090	chr10	132707823	132708809	+	0.000	0.000	3884
BG51094	chr10	132723032	132723231	+	0.000	0.000	3885
BG51096	chr10	132727763	132727962	+	0.000	0.000	3886
BG16789	chr1	112007360	112007559	+	0.000	0.000	1548
BG16793	chr1	112033840	112034039	+	0.000	0.000	1549
BG16794	chr1	112034071	112034270	+	0.000	0.000	1550
BG51100	chr10	132737972	132738191	+	0.000	0.000	3887
BG51101	chr10	132738193	132739212	+	0.000	0.000	3888
BG51109	chr10	132763112	132763561	+	0.000	0.000	3889
BG51121	chr10	132784301	132784500	+	0.000	0.000	3890
BG51124	chr10	132786108	132786390	+	0.000	0.000	3891
BG51134	chr10	132940039	132940348	+	0.000	0.000	3892
BG16804	chr1	112145085	112145292	+	0.000	0.000	1551
BG16816	chr1	112198541	112198772	+	0.000	0.000	1552
BG16820	chr1	112264199	112264406	+	0.000	0.000	1553
BG51156	chr10	133068299	133068498	+	0.000	0.000	3893
BG51158	chr10	133073181	133073585	+	0.000	0.000	3894
BG51168	chr10	133109931	133110130	+	0.000	0.000	3895
BG51175	chr10	133131828	133132136	+	0.000	0.000	3896
BG16844	chr1	112401623	112401831	+	0.000	0.000	1554
BG16851	chr1	112449012	112449230	+	0.000	0.000	1555
BG51187	chr10	133184628	133184834	+	0.000	0.000	3897
BG51194	chr10	133230146	133230345	+	0.000	0.000	3898
BG16869	chr1	112614784	112614983	+	0.000	0.000	1556
BG16871	chr1	112625817	112626062	+	0.000	0.000	1557
BG16877	chr1	112644898	112645148	+	0.000	0.000	1558
BG16894	chr1	112795684	112795883	+	0.000	0.000	1559
BG51209	chr10	133278571	133278818	+	0.000	0.000	3899
BG51212	chr10	133286408	133286660	+	0.000	0.000	3900
BG51228	chr10	133334645	133337531	+	0.000	0.000	3901
BG51237	chr10	133375798	133375997	+	0.000	0.000	3902
BG51239	chr10	133379165	133380274	+	0.000	0.000	3903
BG16935	chr1	113123860	113124097	+	0.000	0.000	1560
BG16944	chr1	113190624	113190995	+	0.000	0.000	1561
BG51295	chr11	288682	288901	+	0.000	0.000	3904
BG51296	chr11	288960	289212	+	0.000	0.000	3905
BG51298	chr11	307776	307975	+	0.000	0.000	3906
BG51299	chr11	308056	308407	+	0.000	0.000	3907
BG16974	chr1	113396642	113396883	+	0.000	0.000	1562
BG16984	chr1	113453775	113454150	+	0.000	0.000	1563
BG51309	chr11	342352	342551	+	0.000	0.000	3908
BG51314	chr11	361713	362206	+	0.000	0.000	3909
BG51315	chr11	362243	362623	+	0.000	0.000	3910
BG51320	chr11	374063	374722	+	0.000	0.000	3911
BG51330	chr11	405424	405637	+	0.000	0.000	3912
BG51334	chr11	444459	444658	+	0.000	0.000	3913
BG51348	chr11	490998	491214	+	0.000	0.000	3914
BG51384	chr11	616202	616442	+	0.000	0.000	3915
BG51387	chr11	636704	637095	+	0.000	0.000	3916
BG51388	chr11	637122	637759	+	0.000	0.000	3917
BG51390	chr11	647660	647859	+	0.000	0.000	3918
BG233008	chr3	69883942	69884327	+	0.000	0.000	17707
BG233021	chr3	69927719	69927918	+	0.000	0.000	17708
BG233024	chr3	69931127	69931326	+	0.000	0.000	17709
BG233028	chr3	69936056	69936255	+	0.000	0.000	17710
BG233032	chr3	69966644	69968024	+	0.000	0.000	17711
BG233042	chr3	70048815	70049031	+	0.000	0.000	17712
BG233074	chr3	70245804	70246268	+	0.000	0.000	17713
BG233096	chr3	70533308	70533753	+	0.000	0.000	17714
BG51405	chr11	706943	707209	+	0.000	0.000	3919
BG51410	chr11	720667	721307	+	0.000	0.000	3920
BG51414	chr11	729178	730331	+	0.000	0.000	3921
BG51437	chr11	830222	830520	+	0.000	0.000	3922
BG51439	chr11	832582	833551	+	0.000	0.000	3923
BG51444	chr11	849193	849392	+	0.000	0.000	3924
BG51478	chr11	995728	997109	+	0.000	0.000	3925
BG51481	chr11	1003192	1003431	+	0.000	0.000	3926
BG51482	chr11	1006020	1006467	+	0.000	0.000	3927
BG51485	chr11	1023129	1023505	+	0.000	0.000	3928
BG51495	chr11	1137640	1138537	+	0.000	0.000	3929
BG51499	chr11	1154339	1154538	+	0.000	0.000	3930
BG233111	chr3	70764740	70764939	+	0.000	0.000	17715
BG233118	chr3	70929662	70930049	+	0.000	0.000	17716
BG233143	chr3	71008353	71008566	+	0.000	0.000	17717
BG233151	chr3	71022401	71022609	+	0.000	0.000	17718
BG233162	chr3	71052570	71052784	+	0.000	0.000	17719
BG51535	chr11	1342771	1342970	+	0.000	0.000	3931
BG51556	chr11	1436052	1436251	+	0.000	0.000	3932
BG51571	chr11	1477307	1477516	+	0.000	0.000	3933
BG51572	chr11	1484796	1484995	+	0.000	0.000	3934
BG233208	chr3	71243266	71243677	+	0.000	0.000	17720
BG233211	chr3	71248087	71248286	+	0.000	0.000	17721
BG233214	chr3	71271683	71271882	+	0.000	0.000	17722
BG233240	chr3	71390344	71390543	+	0.000	0.000	17723
BG233255	chr3	71431307	71431530	+	0.000	0.000	17724
BG233262	chr3	71447895	71448094	+	0.000	0.000	17725
BG233266	chr3	71460607	71461031	+	0.000	0.000	17726
BG233280	chr3	71496584	71496783	+	0.000	0.000	17727
BG233290	chr3	71523778	71524011	+	0.000	0.000	17728
BG233291	chr3	71526338	71526746	+	0.000	0.000	17729
BG233295	chr3	71537285	71537484	+	0.000	0.000	17730
BG233298	chr3	71566858	71567090	+	0.000	0.000	17731
BG51614	chr11	1595492	1595747	+	0.000	0.000	3935
BG51620	chr11	1640169	1640408	+	0.000	0.000	3936
BG51628	chr11	1742395	1742594	+	0.000	0.000	3937
BG51699	chr11	2269155	2269948	+	0.000	0.000	3938
BG233357	chr3	71763467	71763708	+	0.000	0.000	17732
BG233361	chr3	71786623	71786847	+	0.000	0.000	17733
BG233393	chr3	71973070	71973640	+	0.000	0.000	17734
BG233394	chr3	71973783	71974006	+	0.000	0.000	17735
BG51702	chr11	2270898	2271258	+	0.000	0.000	3939
BG51713	chr11	2353027	2353292	+	0.000	0.000	3940
BG51718	chr11	2380803	2381047	+	0.000	0.000	3941
BG51725	chr11	2388516	2388741	+	0.000	0.000	3942
BG51726	chr11	2388782	2389016	+	0.000	0.000	3943
BG51727	chr11	2389121	2389491	+	0.000	0.000	3944
BG51744	chr11	2566504	2566709	+	0.000	0.000	3945
BG51755	chr11	2728339	2728920	+	0.000	0.000	3946
BG51757	chr11	2730807	2731067	+	0.000	0.000	3947
BG332029	chr7	98755535	98755734	+	0.000	0.000	23531
BG332032	chr7	98802060	98802494	+	0.000	0.000	23532
BG332037	chr7	98822747	98822946	+	0.000	0.000	23533
BG332039	chr7	98836918	98837127	+	0.000	0.000	23534
BG51799	chr11	2928544	2928762	+	0.000	0.000	3948
BG332062	chr7	98976459	98977327	+	0.000	0.000	23535
BG332064	chr7	98993132	98993530	+	0.000	0.000	23536
BG332074	chr7	99005823	99006022	+	0.000	0.000	23537
BG332092	chr7	99106281	99106492	+	0.000	0.000	23538
BG332099	chr7	99120028	99120227	+	0.000	0.000	23539
BG233402	chr3	71999118	71999375	+	0.000	0.000	17736
BG233411	chr3	72040419	72040618	+	0.000	0.000	17737
BG233414	chr3	72047586	72047785	+	0.000	0.000	17738
BG233417	chr3	72064903	72065307	+	0.000	0.000	17739
BG233420	chr3	72078300	72078547	+	0.000	0.000	17740
BG233430	chr3	72104479	72104706	+	0.000	0.000	17741
BG233432	chr3	72111021	72111262	+	0.000	0.000	17742
BG233452	chr3	72158070	72158291	+	0.000	0.000	17743
BG233460	chr3	72182780	72182995	+	0.000	0.000	17744
BG233463	chr3	72188837	72189047	+	0.000	0.000	17745
BG233468	chr3	72196762	72196991	+	0.000	0.000	17746
BG233475	chr3	72235145	72235687	+	0.000	0.000	17747
BG233478	chr3	72242291	72243229	+	0.000	0.000	17748
BG233488	chr3	72265397	72265642	+	0.000	0.000	17749
BG233489	chr3	72265674	72265873	+	0.000	0.000	17750
BG233492	chr3	72273729	72273959	+	0.000	0.000	17751
BG233499	chr3	72323592	72323814	+	0.000	0.000	17752
BG51800	chr11	2928782	2929344	+	0.000	0.000	3949
BG51805	chr11	2955765	2955964	+	0.000	0.000	3950
BG51807	chr11	2964787	2964993	+	0.000	0.000	3951
BG51810	chr11	2975324	2975523	+	0.000	0.000	3952
BG51816	chr11	3005404	3005614	+	0.000	0.000	3953
BG51821	chr11	3013744	3014002	+	0.000	0.000	3954
BG51824	chr11	3014644	3014843	+	0.000	0.000	3955
BG51825	chr11	3015009	3015208	+	0.000	0.000	3956
BG51826	chr11	3015277	3015476	+	0.000	0.000	3957
BG51827	chr11	3020019	3020218	+	0.000	0.000	3958
BG332113	chr7	99152975	99153296	+	0.000	0.000	23540
BG332123	chr7	99308281	99308530	+	0.000	0.000	23541
BG51876	chr11	3391594	3391793	+	0.000	0.000	3959
BG51878	chr11	3408799	3409058	+	0.000	0.000	3960
BG51888	chr11	3641844	3642282	+	0.000	0.000	3961
BG332142	chr7	99419244	99419503	+	0.000	0.000	23542
BG332143	chr7	99419657	99419856	+	0.000	0.000	23543
BG51892	chr11	3700619	3700818	+	0.000	0.000	3962
BG332163	chr7	99537637	99538234	+	0.000	0.000	23544
BG332166	chr7	99561222	99561421	+	0.000	0.000	23545
BG332174	chr7	99623533	99623966	+	0.000	0.000	23546
BG332188	chr7	99843943	99844687	+	0.000	0.000	23547
BG332190	chr7	99913444	99913686	+	0.000	0.000	23548
BG233514	chr3	72374996	72375221	+	0.000	0.000	17753
BG233526	chr3	72397686	72397888	+	0.000	0.000	17754
BG233538	chr3	72446010	72446282	+	0.000	0.000	17755
BG233542	chr3	72465143	72465354	+	0.000	0.000	17756
BG233565	chr3	72662564	72663216	+	0.000	0.000	17757
BG233574	chr3	72745147	72745908	+	0.000	0.000	17758
BG233580	chr3	72817053	72817271	+	0.000	0.000	17759
BG233584	chr3	72821544	72821798	+	0.000	0.000	17760
BG233588	chr3	72831081	72831317	+	0.000	0.000	17761
BG51900	chr11	3747279	3747580	+	0.000	0.000	3963
BG51904	chr11	3781253	3781744	+	0.000	0.000	3964
BG51915	chr11	3824793	3825042	+	0.000	0.000	3965
BG51919	chr11	3835839	3836056	+	0.000	0.000	3966
BG51921	chr11	3839565	3839766	+	0.000	0.000	3967
BG332201	chr7	100004327	100004715	+	0.000	0.000	23549
BG332204	chr7	100021343	100021682	+	0.000	0.000	23550
BG332209	chr7	100053008	100053571	+	0.000	0.000	23551
BG51952	chr11	4048701	4048910	+	0.000	0.000	3968
BG51957	chr11	4062205	4062404	+	0.000	0.000	3969
BG332225	chr7	100120722	100120921	+	0.000	0.000	23552
BG51971	chr11	4190998	4191217	+	0.000	0.000	3970
BG51980	chr11	4466086	4466772	+	0.000	0.000	3971
BG332244	chr7	100200079	100200290	+	0.000	0.000	23553
BG332253	chr7	100241400	100242273	+	0.000	0.000	23554
BG332274	chr7	100373322	100373576	+	0.000	0.000	23555
BG332287	chr7	100430700	100430899	+	0.000	0.000	23556
BG332290	chr7	100463295	100463494	+	0.000	0.000	23557
BG332291	chr7	100465663	100465862	+	0.000	0.000	23558
BG332294	chr7	100468515	100468749	+	0.000	0.000	23559
BG332297	chr7	100479713	100479912	+	0.000	0.000	23560
BG233625	chr3	73041556	73041786	+	0.000	0.000	17762
BG233633	chr3	73080635	73080992	+	0.000	0.000	17763
BG332305	chr7	100506212	100506834	+	0.000	0.000	23561
BG332308	chr7	100515066	100515265	+	0.000	0.000	23562
BG332310	chr7	100527607	100527806	+	0.000	0.000	23563
BG332319	chr7	100560091	100560325	+	0.000	0.000	23564
BG332330	chr7	100627735	100627934	+	0.000	0.000	23565
BG332331	chr7	100632533	100633609	+	0.000	0.000	23566
BG332335	chr7	100649969	100650176	+	0.000	0.000	23567
BG332336	chr7	100650193	100650473	+	0.000	0.000	23568
BG332338	chr7	100672962	100673203	+	0.000	0.000	23569
BG332356	chr7	100826922	100827367	+	0.000	0.000	23570
BG332363	chr7	100875797	100876010	+	0.000	0.000	23571
BG332367	chr7	100881165	100881413	+	0.000	0.000	23572
BG332369	chr7	100885643	100885842	+	0.000	0.000	23573
BG332370	chr7	100886741	100886975	+	0.000	0.000	23574
BG332377	chr7	101016594	101017763	+	0.000	0.000	23575
BG332387	chr7	101104323	101104551	+	0.000	0.000	23576
BG332394	chr7	101122452	101122651	+	0.000	0.000	23577
BG332395	chr7	101126362	101126600	+	0.000	0.000	23578
BG332398	chr7	101134628	101134860	+	0.000	0.000	23579
BG233709	chr3	73568776	73569001	+	0.000	0.000	17764
BG233713	chr3	73592538	73592791	+	0.000	0.000	17765
BG233714	chr3	73592796	73593028	+	0.000	0.000	17766
BG233716	chr3	73601116	73601315	+	0.000	0.000	17767
BG233741	chr3	73800310	73800757	+	0.000	0.000	17768
BG233765	chr3	74080764	74081240	+	0.000	0.000	17769
BG233784	chr3	74257835	74258034	+	0.000	0.000	17770
BG332419	chr7	101203828	101204049	+	0.000	0.000	23580
BG332420	chr7	101205993	101206192	+	0.000	0.000	23581
BG332446	chr7	101308146	101308578	+	0.000	0.000	23582
BG332453	chr7	101372970	101373373	+	0.000	0.000	23583
BG332460	chr7	101411619	101411818	+	0.000	0.000	23584
BG332470	chr7	101567287	101567548	+	0.000	0.000	23585
BG332499	chr7	101828616	101828855	+	0.000	0.000	23586
BG233806	chr3	74490011	74490511	+	0.000	0.000	17771
BG69011	chr11	125272728	125273011	+	0.000	0.000	5110
BG69051	chr11	125373811	125374079	+	0.000	0.000	5111
BG233855	chr3	75172627	75172866	+	0.000	0.000	17772
BG233856	chr3	75172898	75173257	+	0.000	0.000	17773
BG233858	chr3	75272775	75272984	+	0.000	0.000	17774
BG69068	chr11	125412217	125412416	+	0.000	0.000	5112
BG233865	chr3	75421800	75422109	+	0.000	0.000	17775
BG69078	chr11	125443522	125443721	+	0.000	0.000	5113
BG233877	chr3	75552208	75552420	+	0.000	0.000	17776
BG233888	chr3	75658898	75659110	+	0.000	0.000	17777
BG332500	chr7	101832174	101832373	+	0.000	0.000	23587
BG332506	chr7	101859104	101859328	+	0.000	0.000	23588
BG332530	chr7	101953046	101953281	+	0.000	0.000	23589
BG332533	chr7	101959658	101959904	+	0.000	0.000	23590
BG332543	chr7	102003594	102003828	+	0.000	0.000	23591
BG332544	chr7	102004769	102005145	+	0.000	0.000	23592
BG332545	chr7	102005169	102005368	+	0.000	0.000	23593
BG332549	chr7	102021957	102022643	+	0.000	0.000	23594
BG332557	chr7	102093275	102094602	+	0.000	0.000	23595
BG332589	chr7	102255957	102256209	+	0.000	0.000	23596
BG69108	chr11	125771782	125773140	+	0.000	0.000	5114
BG69109	chr11	125773287	125773611	+	0.000	0.000	5115
BG69110	chr11	125773613	125774054	+	0.000	0.000	5116
BG69112	chr11	125835708	125836069	+	0.000	0.000	5117
BG233928	chr3	76313748	76313990	+	0.000	0.000	17778
BG233959	chr3	76455166	76455365	+	0.000	0.000	17779
BG233964	chr3	76512505	76512704	+	0.000	0.000	17780
BG69176	chr11	126173000	126173199	+	0.000	0.000	5118
BG332610	chr7	102401831	102402049	+	0.000	0.000	23597
BG332619	chr7	102417236	102417461	+	0.000	0.000	23598
BG332621	chr7	102424996	102425195	+	0.000	0.000	23599
BG332623	chr7	102426615	102426905	+	0.000	0.000	23600
BG332644	chr7	102512596	102512903	+	0.000	0.000	23601
BG332648	chr7	102572165	102573108	+	0.000	0.000	23602
BG332649	chr7	102611770	102611988	+	0.000	0.000	23603
