#Name (cmd = mergePeaks pr.diff_pd_hipp_lrrk_vs_lopd/bg.clean.pos pr.diff_pd_hipp_lrrk_vs_lopd/target.clean..pos -d 200 -cobound 1 -prefix pr.diff_pd_hipp_lrrk_vs_lopd/0.241936496765451.2.tmp)	chr	start	end	strand	stat	stat2	pr.diff_pd_hipp_lrrk_vs_lopd/target.clean..pos
BG68106	chr11	120696907	120697106	+	0.000	0.000	5198
BG232901	chr3	69411366	69411617	+	0.000	0.000	17652
BG68121	chr11	120814804	120815030	+	0.000	0.000	5199
BG68132	chr11	120835817	120836239	+	0.000	0.000	5200
BG68137	chr11	120849089	120849288	+	0.000	0.000	5201
BG232938	chr3	69547397	69547596	+	0.000	0.000	17653
BG232939	chr3	69547608	69547807	+	0.000	0.000	17654
BG68141	chr11	120874427	120874825	+	0.000	0.000	5202
BG232942	chr3	69551966	69552165	+	0.000	0.000	17655
BG232943	chr3	69552190	69552409	+	0.000	0.000	17656
BG68170	chr11	120969396	120969797	+	0.000	0.000	5203
BG232974	chr3	69781447	69781646	+	0.000	0.000	17657
BG68180	chr11	121042095	121042294	+	0.000	0.000	5204
BG68186	chr11	121053657	121054098	+	0.000	0.000	5205
BG68188	chr11	121067570	121067861	+	0.000	0.000	5206
BG232985	chr3	69819633	69819961	+	0.000	0.000	17658
BG232986	chr3	69819967	69820166	+	0.000	0.000	17659
BG68198	chr11	121142612	121143067	+	0.000	0.000	5207
BG232997	chr3	69844827	69845026	+	0.000	0.000	17660
BG232998	chr3	69854676	69854875	+	0.000	0.000	17661
BG331609	chr7	95730326	95731236	+	0.000	0.000	23684
BG331612	chr7	95745860	95746059	+	0.000	0.000	23685
BG331619	chr7	95784020	95784219	+	0.000	0.000	23686
BG331627	chr7	95813818	95814017	+	0.000	0.000	23687
BG331641	chr7	95900024	95900223	+	0.000	0.000	23688
BG331655	chr7	95950842	95951076	+	0.000	0.000	23689
BG331665	chr7	95993328	95993527	+	0.000	0.000	23690
BG331686	chr7	96132071	96132325	+	0.000	0.000	23691
BG68201	chr11	121155404	121155603	+	0.000	0.000	5208
BG68203	chr11	121191911	121192110	+	0.000	0.000	5209
BG68206	chr11	121204766	121204972	+	0.000	0.000	5210
BG68218	chr11	121305489	121305688	+	0.000	0.000	5211
BG68227	chr11	121341998	121342197	+	0.000	0.000	5212
BG68245	chr11	121413053	121413252	+	0.000	0.000	5213
BG68254	chr11	121441645	121441891	+	0.000	0.000	5214
BG68256	chr11	121444608	121444868	+	0.000	0.000	5215
BG68299	chr11	121553924	121554191	+	0.000	0.000	5216
BG331705	chr7	96199010	96199387	+	0.000	0.000	23692
BG331770	chr7	96695692	96695891	+	0.000	0.000	23693
BG331785	chr7	96786264	96786645	+	0.000	0.000	23694
BG68308	chr11	121586053	121586252	+	0.000	0.000	5217
BG68312	chr11	121597127	121597326	+	0.000	0.000	5218
BG68330	chr11	121670504	121670722	+	0.000	0.000	5219
BG68346	chr11	121810407	121810623	+	0.000	0.000	5220
BG68347	chr11	121810675	121810891	+	0.000	0.000	5221
BG68353	chr11	121887645	121887844	+	0.000	0.000	5222
BG68359	chr11	121932620	121933142	+	0.000	0.000	5223
BG68379	chr11	122049777	122050610	+	0.000	0.000	5224
BG68383	chr11	122062848	122063275	+	0.000	0.000	5225
BG331800	chr7	96997243	96997463	+	0.000	0.000	23695
BG331816	chr7	97023699	97024136	+	0.000	0.000	23696
BG331818	chr7	97025034	97025244	+	0.000	0.000	23697
BG331832	chr7	97133070	97133269	+	0.000	0.000	23698
BG331841	chr7	97200065	97200329	+	0.000	0.000	23699
BG68401	chr11	122094086	122094285	+	0.000	0.000	5226
BG68418	chr11	122116719	122117127	+	0.000	0.000	5227
BG68439	chr11	122170765	122170992	+	0.000	0.000	5228
BG68459	chr11	122212964	122213731	+	0.000	0.000	5229
BG68460	chr11	122213833	122214081	+	0.000	0.000	5230
BG68461	chr11	122215181	122215703	+	0.000	0.000	5231
BG68466	chr11	122234550	122235089	+	0.000	0.000	5232
BG68470	chr11	122247283	122247500	+	0.000	0.000	5233
BG68481	chr11	122273957	122274171	+	0.000	0.000	5234
BG331907	chr7	97935705	97935904	+	0.000	0.000	23700
BG331961	chr7	98186547	98186746	+	0.000	0.000	23701
BG331962	chr7	98186916	98187115	+	0.000	0.000	23702
BG331996	chr7	98401092	98401370	+	0.000	0.000	23703
BG68506	chr11	122440870	122441094	+	0.000	0.000	5235
BG68534	chr11	122643025	122643297	+	0.000	0.000	5236
BG68551	chr11	122717360	122717559	+	0.000	0.000	5237
BG68552	chr11	122721505	122721741	+	0.000	0.000	5238
BG68558	chr11	122741624	122741841	+	0.000	0.000	5239
BG68561	chr11	122756481	122756830	+	0.000	0.000	5240
BG68593	chr11	122864050	122864698	+	0.000	0.000	5241
BG68604	chr11	122999030	122999433	+	0.000	0.000	5242
BG68610	chr11	123054635	123055076	+	0.000	0.000	5243
BG68611	chr11	123055131	123055589	+	0.000	0.000	5244
BG68648	chr11	123241892	123242129	+	0.000	0.000	5245
BG68661	chr11	123303815	123304198	+	0.000	0.000	5246
BG68767	chr11	123695028	123695312	+	0.000	0.000	5247
BG349021	chr8	60938147	60938355	+	0.000	0.000	24765
BG349022	chr8	60943628	60943972	+	0.000	0.000	24766
BG349023	chr8	60943994	60945367	+	0.000	0.000	24767
BG349024	chr8	60945432	60945631	+	0.000	0.000	24768
BG349043	chr8	61012391	61013510	+	0.000	0.000	24769
BG349044	chr8	61013545	61014119	+	0.000	0.000	24770
BG68790	chr11	124071003	124071202	+	0.000	0.000	5248
BG349079	chr8	61154473	61154718	+	0.000	0.000	24771
BG68807	chr11	124191413	124191630	+	0.000	0.000	5249
BG68811	chr11	124276819	124277057	+	0.000	0.000	5250
BG68835	chr11	124435498	124435703	+	0.000	0.000	5251
BG68847	chr11	124485393	124485620	+	0.000	0.000	5252
BG68855	chr11	124511044	124511244	+	0.000	0.000	5253
BG349112	chr8	61354139	61354410	+	0.000	0.000	24772
BG349138	chr8	61453178	61453465	+	0.000	0.000	24773
BG68885	chr11	124633464	124633674	+	0.000	0.000	5254
BG349147	chr8	61470391	61470590	+	0.000	0.000	24774
BG68890	chr11	124662227	124662439	+	0.000	0.000	5255
BG349158	chr8	61528912	61529111	+	0.000	0.000	24775
BG349166	chr8	61592581	61592780	+	0.000	0.000	24776
BG349174	chr8	61614217	61614416	+	0.000	0.000	24777
BG68924	chr11	124814762	124815156	+	0.000	0.000	5256
BG68944	chr11	124897346	124897546	+	0.000	0.000	5257
BG68946	chr11	124900233	124900436	+	0.000	0.000	5258
BG349220	chr8	62013496	62013797	+	0.000	0.000	24778
BG349221	chr8	62013876	62014218	+	0.000	0.000	24779
BG349228	chr8	62063351	62063729	+	0.000	0.000	24780
BG349238	chr8	62259693	62259971	+	0.000	0.000	24781
BG349249	chr8	62332665	62333057	+	0.000	0.000	24782
BG68991	chr11	125211564	125212353	+	0.000	0.000	5259
BG68992	chr11	125212385	125212705	+	0.000	0.000	5260
BG349250	chr8	62333068	62333458	+	0.000	0.000	24783
BG349254	chr8	62460584	62461275	+	0.000	0.000	24784
BG349299	chr8	62927640	62927839	+	0.000	0.000	24785
BG116005	chr15	29962100	29962299	+	0.000	0.000	8437
BG116026	chr15	30032855	30033569	+	0.000	0.000	8438
BG116043	chr15	30064593	30064792	+	0.000	0.000	8439
BG116050	chr15	30470664	30470864	+	0.000	0.000	8440
BG116051	chr15	30470903	30471359	+	0.000	0.000	8441
BG116055	chr15	30755118	30755325	+	0.000	0.000	8442
BG116058	chr15	30808483	30808690	+	0.000	0.000	8443
BG116080	chr15	30929168	30929367	+	0.000	0.000	8444
BG116089	chr15	30956355	30956597	+	0.000	0.000	8445
BG349311	chr8	63074766	63074965	+	0.000	0.000	24786
BG349325	chr8	63265420	63265667	+	0.000	0.000	24787
BG349338	chr8	63390110	63390318	+	0.000	0.000	24788
BG349345	chr8	63413002	63413232	+	0.000	0.000	24789
BG349349	chr8	63419630	63420035	+	0.000	0.000	24790
BG349357	chr8	63481908	63482108	+	0.000	0.000	24791
BG349361	chr8	63536139	63536338	+	0.000	0.000	24792
BG349379	chr8	63626665	63626864	+	0.000	0.000	24793
BG285065	chr5	115249483	115249696	+	0.000	0.000	20718
BG285068	chr5	115283714	115283913	+	0.000	0.000	20719
BG285072	chr5	115285728	115285939	+	0.000	0.000	20720
BG285096	chr5	115388427	115388671	+	0.000	0.000	20721
BG116114	chr15	31100042	31100261	+	0.000	0.000	8446
BG116115	chr15	31100734	31101091	+	0.000	0.000	8447
BG116127	chr15	31202796	31203391	+	0.000	0.000	8448
BG116138	chr15	31251365	31251564	+	0.000	0.000	8449
BG116142	chr15	31256768	31257093	+	0.000	0.000	8450
BG116145	chr15	31264189	31264728	+	0.000	0.000	8451
BG116147	chr15	31265988	31266637	+	0.000	0.000	8452
BG116148	chr15	31266666	31267064	+	0.000	0.000	8453
BG116157	chr15	31295668	31296063	+	0.000	0.000	8454
BG116161	chr15	31300930	31301349	+	0.000	0.000	8455
BG349406	chr8	63750058	63750257	+	0.000	0.000	24794
BG349415	chr8	63873436	63873649	+	0.000	0.000	24795
BG349428	chr8	63974839	63975090	+	0.000	0.000	24796
BG349446	chr8	64115333	64115532	+	0.000	0.000	24797
BG349455	chr8	64264754	64264967	+	0.000	0.000	24798
BG349464	chr8	64295859	64296062	+	0.000	0.000	24799
BG349469	chr8	64362405	64362604	+	0.000	0.000	24800
BG285102	chr5	115419923	115420168	+	0.000	0.000	20722
BG285106	chr5	115423881	115424295	+	0.000	0.000	20723
BG285123	chr5	115497357	115497765	+	0.000	0.000	20724
BG285142	chr5	115572617	115572816	+	0.000	0.000	20725
BG285159	chr5	115635025	115635232	+	0.000	0.000	20726
BG116205	chr15	31483488	31483687	+	0.000	0.000	8456
BG116244	chr15	31637001	31637200	+	0.000	0.000	8457
BG116245	chr15	31645754	31645983	+	0.000	0.000	8458
BG116254	chr15	31733481	31734104	+	0.000	0.000	8459
BG116268	chr15	31787010	31787209	+	0.000	0.000	8460
BG116296	chr15	31857491	31857696	+	0.000	0.000	8461
BG349500	chr8	64484289	64484668	+	0.000	0.000	24801
BG349518	chr8	64586163	64586362	+	0.000	0.000	24802
BG349523	chr8	64605586	64605785	+	0.000	0.000	24803
BG349530	chr8	64641326	64641560	+	0.000	0.000	24804
BG349532	chr8	64663372	64663571	+	0.000	0.000	24805
BG349552	chr8	64724931	64725130	+	0.000	0.000	24806
BG349573	chr8	64807590	64807799	+	0.000	0.000	24807
BG285219	chr5	116218772	116218971	+	0.000	0.000	20727
BG285245	chr5	116380789	116381164	+	0.000	0.000	20728
BG285273	chr5	116445357	116445614	+	0.000	0.000	20729
BG116339	chr15	32683649	32683907	+	0.000	0.000	8462
BG116342	chr15	32685108	32685331	+	0.000	0.000	8463
BG116353	chr15	32744746	32744974	+	0.000	0.000	8464
BG116367	chr15	32898529	32898752	+	0.000	0.000	8465
BG116368	chr15	32920188	32920387	+	0.000	0.000	8466
BG116381	chr15	33007784	33008045	+	0.000	0.000	8467
BG116387	chr15	33027067	33027282	+	0.000	0.000	8468
BG349623	chr8	65161205	65161605	+	0.000	0.000	24808
BG349630	chr8	65174494	65174713	+	0.000	0.000	24809
BG349660	chr8	65415564	65415811	+	0.000	0.000	24810
BG349661	chr8	65415836	65416167	+	0.000	0.000	24811
BG349677	chr8	65584482	65585441	+	0.000	0.000	24812
BG349681	chr8	65604337	65604559	+	0.000	0.000	24813
BG349698	chr8	65749348	65749547	+	0.000	0.000	24814
BG285300	chr5	116502919	116503118	+	0.000	0.000	20730
BG285331	chr5	116600968	116601167	+	0.000	0.000	20731
BG285379	chr5	116873027	116873226	+	0.000	0.000	20732
BG285380	chr5	116876150	116876517	+	0.000	0.000	20733
BG285390	chr5	116990905	116991288	+	0.000	0.000	20734
BG116402	chr15	33090500	33090874	+	0.000	0.000	8469
BG116430	chr15	33201283	33202297	+	0.000	0.000	8470
BG116431	chr15	33202304	33202503	+	0.000	0.000	8471
BG116459	chr15	33328176	33328429	+	0.000	0.000	8472
BG116471	chr15	33374651	33374914	+	0.000	0.000	8473
BG116476	chr15	33412591	33413225	+	0.000	0.000	8474
BG116492	chr15	33479228	33479492	+	0.000	0.000	8475
BG116495	chr15	33490364	33490587	+	0.000	0.000	8476
BG384002	chrX	134254025	134254224	+	0.000	0.000	27309
BG384003	chrX	134256560	134256759	+	0.000	0.000	27310
BG384014	chrX	134410398	134410638	+	0.000	0.000	27311
BG384019	chrX	134444180	134444379	+	0.000	0.000	27312
BG349720	chr8	65930274	65930473	+	0.000	0.000	24815
BG349728	chr8	65991083	65991408	+	0.000	0.000	24816
BG349753	chr8	66121908	66122153	+	0.000	0.000	24817
BG349761	chr8	66204705	66204929	+	0.000	0.000	24818
BG349762	chr8	66204944	66205172	+	0.000	0.000	24819
BG349784	chr8	66365767	66366201	+	0.000	0.000	24820
BG285415	chr5	117131680	117131923	+	0.000	0.000	20735
BG285419	chr5	117144591	117144790	+	0.000	0.000	20736
BG285421	chr5	117162295	117162502	+	0.000	0.000	20737
BG285464	chr5	117411508	117411707	+	0.000	0.000	20738
BG285475	chr5	117591042	117591241	+	0.000	0.000	20739
BG116500	chr15	33500872	33501071	+	0.000	0.000	8477
BG116525	chr15	33568467	33568933	+	0.000	0.000	8478
BG116543	chr15	33621189	33621414	+	0.000	0.000	8479
BG116582	chr15	33794829	33795454	+	0.000	0.000	8480
BG116584	chr15	33808758	33808957	+	0.000	0.000	8481
BG384103	chrX	135740631	135740862	+	0.000	0.000	27313
BG384113	chrX	136030264	136030467	+	0.000	0.000	27314
BG384132	chrX	136163164	136163363	+	0.000	0.000	27315
BG384133	chrX	136165437	136165689	+	0.000	0.000	27316
BG384150	chrX	136260796	136261179	+	0.000	0.000	27317
BG384161	chrX	136474649	136474848	+	0.000	0.000	27318
BG384185	chrX	136715043	136715242	+	0.000	0.000	27319
BG384187	chrX	136745175	136745374	+	0.000	0.000	27320
BG349885	chr8	66828568	66828976	+	0.000	0.000	24821
BG349892	chr8	66963190	66963408	+	0.000	0.000	24822
BG285507	chr5	117964733	117964933	+	0.000	0.000	20740
BG285519	chr5	118069009	118069208	+	0.000	0.000	20741
BG285535	chr5	118193692	118193891	+	0.000	0.000	20742
BG285541	chr5	118253268	118253467	+	0.000	0.000	20743
BG285549	chr5	118392917	118393153	+	0.000	0.000	20744
BG285591	chr5	118701541	118701777	+	0.000	0.000	20745
BG285595	chr5	118760859	118761058	+	0.000	0.000	20746
BG116606	chr15	33971819	33972050	+	0.000	0.000	8482
BG116639	chr15	34119486	34119685	+	0.000	0.000	8483
BG116646	chr15	34230929	34231326	+	0.000	0.000	8484
BG116650	chr15	34241986	34242226	+	0.000	0.000	8485
BG116669	chr15	34359728	34359927	+	0.000	0.000	8486
BG116679	chr15	34523875	34524074	+	0.000	0.000	8487
BG116686	chr15	34610780	34610979	+	0.000	0.000	8488
BG384216	chrX	137033895	137034168	+	0.000	0.000	27321
BG349907	chr8	67212556	67212755	+	0.000	0.000	24823
BG349908	chr8	67212951	67213150	+	0.000	0.000	24824
BG384241	chrX	137481737	137481936	+	0.000	0.000	27322
BG384244	chrX	137551241	137551440	+	0.000	0.000	27323
BG349922	chr8	67326064	67326296	+	0.000	0.000	24825
BG349923	chr8	67326372	67326575	+	0.000	0.000	24826
BG349976	chr8	67902142	67902341	+	0.000	0.000	24827
BG285600	chr5	118882288	118882487	+	0.000	0.000	20747
BG285605	chr5	118903722	118904143	+	0.000	0.000	20748
BG285648	chr5	119299818	119300370	+	0.000	0.000	20749
BG285658	chr5	119344150	119344349	+	0.000	0.000	20750
BG285673	chr5	119422467	119422666	+	0.000	0.000	20751
BG285686	chr5	119492809	119493190	+	0.000	0.000	20752
BG151010	chr18	3847934	3848179	+	0.000	0.000	11635
BG116701	chr15	34666371	34666570	+	0.000	0.000	8489
BG116714	chr15	34768533	34768871	+	0.000	0.000	8490
BG151063	chr18	4023358	4024032	+	0.000	0.000	11636
BG116733	chr15	34864690	34864889	+	0.000	0.000	8491
BG151069	chr18	4068104	4068612	+	0.000	0.000	11637
BG151073	chr18	4096604	4096803	+	0.000	0.000	11638
BG116772	chr15	35168500	35168708	+	0.000	0.000	8492
BG384309	chrX	139201276	139201491	+	0.000	0.000	27324
BG384311	chrX	139203650	139203870	+	0.000	0.000	27325
BG384316	chrX	139460411	139460610	+	0.000	0.000	27326
BG384324	chrX	139661298	139661497	+	0.000	0.000	27327
BG384339	chrX	140066939	140067160	+	0.000	0.000	27328
BG384348	chrX	140432133	140433589	+	0.000	0.000	27329
BG384351	chrX	140502601	140502818	+	0.000	0.000	27330
BG384364	chrX	140674178	140674377	+	0.000	0.000	27331
BG384365	chrX	140697727	140697926	+	0.000	0.000	27332
BG384381	chrX	140752297	140752496	+	0.000	0.000	27333
BG285711	chr5	119744033	119744526	+	0.000	0.000	20753
BG285789	chr5	120616039	120616272	+	0.000	0.000	20754
BG285790	chr5	120640461	120640797	+	0.000	0.000	20755
BG151100	chr18	4197373	4197588	+	0.000	0.000	11639
BG116807	chr15	35468282	35468506	+	0.000	0.000	8493
BG116809	chr15	35482089	35482307	+	0.000	0.000	8494
BG151151	chr18	4600907	4601144	+	0.000	0.000	11640
BG151153	chr18	4642152	4642370	+	0.000	0.000	11641
BG151186	chr18	4840049	4840381	+	0.000	0.000	11642
BG116852	chr15	35785233	35785432	+	0.000	0.000	8495
BG151195	chr18	4857891	4858340	+	0.000	0.000	11643
BG151196	chr18	4858367	4858786	+	0.000	0.000	11644
BG151197	chr18	4858795	4859031	+	0.000	0.000	11645
BG116867	chr15	35856547	35856746	+	0.000	0.000	8496
BG116888	chr15	36023139	36023338	+	0.000	0.000	8497
BG384407	chrX	141215868	141216067	+	0.000	0.000	27334
BG384420	chrX	141638622	141638880	+	0.000	0.000	27335
BG384421	chrX	141638932	141639542	+	0.000	0.000	27336
BG384430	chrX	141825864	141826078	+	0.000	0.000	27337
BG384432	chrX	141826413	141826612	+	0.000	0.000	27338
BG384433	chrX	141834328	141834892	+	0.000	0.000	27339
BG384440	chrX	141936150	141936389	+	0.000	0.000	27340
BG384444	chrX	142066535	142066797	+	0.000	0.000	27341
BG384445	chrX	142066966	142067175	+	0.000	0.000	27342
BG384458	chrX	142331712	142331927	+	0.000	0.000	27343
BG384472	chrX	142679215	142679469	+	0.000	0.000	27344
BG285821	chr5	121029723	121030487	+	0.000	0.000	20756
BG285826	chr5	121199125	121199324	+	0.000	0.000	20757
BG285836	chr5	121501104	121501303	+	0.000	0.000	20758
BG285849	chr5	121748712	121748951	+	0.000	0.000	20759
BG285850	chr5	121797415	121798505	+	0.000	0.000	20760
BG285863	chr5	122014277	122014490	+	0.000	0.000	20761
BG285877	chr5	122156577	122156776	+	0.000	0.000	20762
BG151207	chr18	5029207	5029416	+	0.000	0.000	11646
BG116901	chr15	36194054	36194253	+	0.000	0.000	8498
BG116917	chr15	36363718	36363929	+	0.000	0.000	8499
BG151253	chr18	5298421	5298794	+	0.000	0.000	11647
BG116949	chr15	36595072	36595271	+	0.000	0.000	8500
BG116953	chr15	36602340	36602539	+	0.000	0.000	8501
BG151291	chr18	5444383	5444821	+	0.000	0.000	11648
BG116967	chr15	36724568	36724974	+	0.000	0.000	8502
BG116968	chr15	36725099	36725308	+	0.000	0.000	8503
BG116975	chr15	36757514	36757975	+	0.000	0.000	8504
BG116988	chr15	36867556	36867967	+	0.000	0.000	8505
BG384507	chrX	143746039	143746239	+	0.000	0.000	27345
BG384521	chrX	144624666	144625078	+	0.000	0.000	27346
BG384523	chrX	144627525	144628010	+	0.000	0.000	27347
BG384524	chrX	144628032	144628428	+	0.000	0.000	27348
BG384528	chrX	144716134	144716333	+	0.000	0.000	27349
BG384529	chrX	144892379	144892703	+	0.000	0.000	27350
BG384530	chrX	144896457	144896656	+	0.000	0.000	27351
BG384534	chrX	145194902	145195408	+	0.000	0.000	27352
BG384548	chrX	145524433	145524852	+	0.000	0.000	27353
BG384549	chrX	145524973	145525468	+	0.000	0.000	27354
BG384550	chrX	145525481	145526376	+	0.000	0.000	27355
BG384555	chrX	145654802	145655020	+	0.000	0.000	27356
BG384567	chrX	145772864	145773063	+	0.000	0.000	27357
BG384568	chrX	145773088	145773308	+	0.000	0.000	27358
BG384587	chrX	145838517	145838716	+	0.000	0.000	27359
BG285933	chr5	122456748	122456947	+	0.000	0.000	20763
BG285934	chr5	122456974	122457803	+	0.000	0.000	20764
BG285941	chr5	122497823	122498469	+	0.000	0.000	20765
BG285954	chr5	122614669	122615449	+	0.000	0.000	20766
BG151331	chr18	5569959	5570158	+	0.000	0.000	11649
BG151341	chr18	5608796	5608995	+	0.000	0.000	11650
BG151342	chr18	5609019	5609218	+	0.000	0.000	11651
BG151372	chr18	5839783	5839984	+	0.000	0.000	11652
BG151374	chr18	5840561	5840760	+	0.000	0.000	11653
BG384602	chrX	146278456	146278655	+	0.000	0.000	27360
BG384612	chrX	146582030	146582299	+	0.000	0.000	27361
BG384631	chrX	147216874	147217221	+	0.000	0.000	27362
BG384632	chrX	147217276	147218052	+	0.000	0.000	27363
BG384634	chrX	147251382	147251581	+	0.000	0.000	27364
BG384645	chrX	147749336	147749821	+	0.000	0.000	27365
BG384650	chrX	147804658	147804935	+	0.000	0.000	27366
BG384662	chrX	148314526	148315504	+	0.000	0.000	27367
BG384680	chrX	148600656	148600876	+	0.000	0.000	27368
BG384686	chrX	148657404	148657731	+	0.000	0.000	27369
BG151428	chr18	6212739	6212964	+	0.000	0.000	11654
BG151450	chr18	6300786	6300985	+	0.000	0.000	11655
BG151451	chr18	6305703	6305902	+	0.000	0.000	11656
BG151472	chr18	6429368	6429567	+	0.000	0.000	11657
BG151479	chr18	6495691	6495893	+	0.000	0.000	11658
BG151480	chr18	6496855	6497639	+	0.000	0.000	11659
BG151487	chr18	6567461	6567677	+	0.000	0.000	11660
BG384706	chrX	149150532	149150927	+	0.000	0.000	27370
BG384715	chrX	149453095	149453298	+	0.000	0.000	27371
BG384740	chrX	149527503	149527702	+	0.000	0.000	27372
BG384741	chrX	149527781	149528046	+	0.000	0.000	27373
BG384748	chrX	149602453	149602652	+	0.000	0.000	27374
BG384754	chrX	149698521	149698747	+	0.000	0.000	27375
BG384776	chrX	150151554	150151817	+	0.000	0.000	27376
BG384777	chrX	150159746	150159945	+	0.000	0.000	27377
BG384780	chrX	150165375	150165597	+	0.000	0.000	27378
BG151532	chr18	7070271	7070470	+	0.000	0.000	11661
BG151561	chr18	7259875	7260088	+	0.000	0.000	11662
BG151567	chr18	7361671	7362584	+	0.000	0.000	11663
BG151568	chr18	7369757	7369956	+	0.000	0.000	11664
BG151569	chr18	7370055	7370375	+	0.000	0.000	11665
BG151571	chr18	7370740	7371105	+	0.000	0.000	11666
BG151578	chr18	7459752	7460452	+	0.000	0.000	11667
BG151580	chr18	7482048	7482289	+	0.000	0.000	11668
BG151591	chr18	7579965	7580224	+	0.000	0.000	11669
BG151594	chr18	7592221	7592647	+	0.000	0.000	11670
BG384805	chrX	150466415	150466918	+	0.000	0.000	27379
BG384813	chrX	150507785	150507984	+	0.000	0.000	27380
BG384821	chrX	150545475	150545710	+	0.000	0.000	27381
BG384822	chrX	150545715	150546037	+	0.000	0.000	27382
BG384823	chrX	150546058	150546379	+	0.000	0.000	27383
BG384858	chrX	150771908	150772219	+	0.000	0.000	27384
BG384877	chrX	150900179	150900378	+	0.000	0.000	27385
BG384884	chrX	150976041	150976240	+	0.000	0.000	27386
BG384891	chrX	151102016	151102248	+	0.000	0.000	27387
BG384894	chrX	151152942	151153425	+	0.000	0.000	27388
BG384898	chrX	151384864	151385063	+	0.000	0.000	27389
BG151626	chr18	7749128	7749358	+	0.000	0.000	11671
BG151631	chr18	7789713	7789912	+	0.000	0.000	11672
BG151634	chr18	7805180	7805397	+	0.000	0.000	11673
BG151643	chr18	7855030	7855483	+	0.000	0.000	11674
BG151644	chr18	7855517	7855747	+	0.000	0.000	11675
BG151658	chr18	7926610	7926846	+	0.000	0.000	11676
BG151661	chr18	7935126	7935325	+	0.000	0.000	11677
BG151672	chr18	7986654	7987073	+	0.000	0.000	11678
BG151674	chr18	8045551	8045927	+	0.000	0.000	11679
BG151689	chr18	8163608	8163865	+	0.000	0.000	11680
BG384901	chrX	151402811	151403052	+	0.000	0.000	27390
BG384906	chrX	151505658	151506055	+	0.000	0.000	27391
BG384907	chrX	151570251	151570450	+	0.000	0.000	27392
BG384908	chrX	151570479	151570678	+	0.000	0.000	27393
BG384919	chrX	151810977	151811435	+	0.000	0.000	27394
BG384944	chrX	152816936	152817646	+	0.000	0.000	27395
BG384958	chrX	152904393	152904838	+	0.000	0.000	27396
BG384962	chrX	152915698	152915923	+	0.000	0.000	27397
BG384984	chrX	153381368	153381588	+	0.000	0.000	27398
BG384995	chrX	153465599	153465798	+	0.000	0.000	27399
BG151749	chr18	8529476	8529861	+	0.000	0.000	11681
BG151806	chr18	8779823	8780603	+	0.000	0.000	11682
BG151838	chr18	8912492	8912691	+	0.000	0.000	11683
BG151902	chr18	9362586	9362824	+	0.000	0.000	11684
BG151904	chr18	9365466	9365726	+	0.000	0.000	11685
BG151920	chr18	9453357	9453607	+	0.000	0.000	11686
BG151931	chr18	9549519	9549928	+	0.000	0.000	11687
BG151940	chr18	9575880	9576393	+	0.000	0.000	11688
BG151950	chr18	9654258	9654466	+	0.000	0.000	11689
BG151952	chr18	9655196	9655435	+	0.000	0.000	11690
BG151978	chr18	9762685	9762884	+	0.000	0.000	11691
BG151990	chr18	9796649	9796902	+	0.000	0.000	11692
BG169003	chr19	53819176	53819385	+	0.000	0.000	13001
BG169011	chr19	53864209	53864496	+	0.000	0.000	13002
BG169012	chr19	53864521	53864980	+	0.000	0.000	13003
BG169034	chr19	53945803	53946206	+	0.000	0.000	13004
BG169051	chr19	54017363	54017592	+	0.000	0.000	13005
BG169057	chr19	54045938	54046920	+	0.000	0.000	13006
BG169083	chr19	54205269	54205746	+	0.000	0.000	13007
BG169094	chr19	54312548	54312747	+	0.000	0.000	13008
BG169099	chr19	54346022	54346418	+	0.000	0.000	13009
BG169105	chr19	54379167	54379598	+	0.000	0.000	13010
BG169116	chr19	54415684	54415921	+	0.000	0.000	13011
BG169117	chr19	54416242	54416452	+	0.000	0.000	13012
BG169119	chr19	54417783	54418020	+	0.000	0.000	13013
BG169120	chr19	54418188	54418446	+	0.000	0.000	13014
BG169121	chr19	54418497	54418944	+	0.000	0.000	13015
BG169127	chr19	54434087	54434286	+	0.000	0.000	13016
BG169129	chr19	54435386	54436096	+	0.000	0.000	13017
BG169137	chr19	54462513	54462712	+	0.000	0.000	13018
BG169141	chr19	54470990	54471793	+	0.000	0.000	13019
BG169146	chr19	54521122	54521758	+	0.000	0.000	13020
BG169147	chr19	54522843	54523923	+	0.000	0.000	13021
BG169151	chr19	54551980	54552179	+	0.000	0.000	13022
BG169157	chr19	54606315	54606514	+	0.000	0.000	13023
BG169159	chr19	54606783	54607390	+	0.000	0.000	13024
BG169163	chr19	54644180	54644379	+	0.000	0.000	13025
BG169178	chr19	55080200	55080433	+	0.000	0.000	13026
BG169179	chr19	55080458	55080892	+	0.000	0.000	13027
BG169194	chr19	55156409	55156608	+	0.000	0.000	13028
BG169200	chr19	55174603	55174817	+	0.000	0.000	13029
BG169227	chr19	55285191	55285833	+	0.000	0.000	13030
BG169228	chr19	55286714	55288502	+	0.000	0.000	13031
BG169234	chr19	55319826	55320274	+	0.000	0.000	13032
BG169236	chr19	55340861	55341068	+	0.000	0.000	13033
BG169238	chr19	55344576	55344776	+	0.000	0.000	13034
BG169239	chr19	55353309	55354397	+	0.000	0.000	13035
BG169240	chr19	55369997	55370213	+	0.000	0.000	13036
BG169247	chr19	55419153	55420226	+	0.000	0.000	13037
